interval,seller_nace4d,n_cells,mean_n_supp,p10_n_supp,p25_n_supp,median_n_supp,p75_n_supp,p90_n_supp,p99_n_supp,max_n_supp,share_eq_1,share_eq_2,share_3_to_5,share_6_to_10,share_ge_11,share_ge_2
interval_2006_07,2013,1125,1.29244444444444,1,1,1,1,2,4.75999999999999,8,0.817777777777778,0.121777777777778,0.0542222222222222,0.00622222222222222,0,0.182222222222222
interval_2006_07,2352,988,1.09716599190283,1,1,1,1,1,2,3,0.903846153846154,0.0951417004048583,0.00101214574898785,0,0,0.0961538461538462
interval_2006_07,2732,938,1.36567164179104,1,1,1,1,2,4,6,0.76545842217484,0.139658848614073,0.0927505330490405,0.00213219616204691,0,0.23454157782516
interval_2006_07,2320,935,1.12406417112299,1,1,1,1,1,4,6,0.922994652406417,0.0502673796791444,0.0245989304812834,0.00213903743315508,0,0.0770053475935829
interval_2006_07,2314,922,1.0997830802603,1,1,1,1,1,2,3,0.908893709327549,0.0824295010845987,0.0086767895878525,0,0,0.0911062906724512
interval_2006_07,1081,915,1.3344262295082,1,1,1,1,2,4,6,0.768306010928962,0.157377049180328,0.073224043715847,0.00109289617486339,0,0.231693989071038
interval_2006_07,1031,879,1.45506257110353,1,1,1,1,3,5,8,0.766780432309443,0.100113765642776,0.12514220705347,0.00796359499431172,0,0.233219567690557
interval_2006_07,2012,757,1.50330250990753,1,1,1,2,3,5,6,0.709379128137385,0.150594451783355,0.137384412153236,0.00264200792602378,0,0.290620871862616
interval_2006_07,2319,723,1.04149377593361,1,1,1,1,1,2,4,0.965421853388658,0.029045643153527,0.00553250345781466,0,0,0.0345781466113416
interval_2006_07,2362,711,1.0239099859353,1,1,1,1,1,2,2,0.976090014064698,0.0239099859353024,0,0,0,0.0239099859353024
interval_2006_07,2313,700,1.05,1,1,1,1,1,2,3,0.951428571428571,0.0471428571428571,0.00142857142857143,0,0,0.0485714285714286
interval_2006_07,2444,695,1.09352517985612,1,1,1,1,1,2,5,0.916546762589928,0.0776978417266187,0.00575539568345324,0,0,0.083453237410072
